"Total Annual Income","Total Loan Credit","Income Source","External Credit Score","Age"
180000,296280,"Working",0.430739598333333,37.158904109589
225000,431280,"Commercial associate",0.353831290666667,30.0328767123288
126000,165915,"Commercial associate",0.586810652,31.7917808219178
180000,67500,"Working",0.290375530333333,32.3808219178082
225000,323460,"Working",0.554624480666667,36.8328767123288
202500,697500,"Working",0.350690524,24.1616438356164
135000,1024740,"Working",0.484671771,30.3972602739726
225000,1157958,"Commercial associate",0.324616215666667,51.2164383561644
450000,675000,"Commercial associate",0.669573476,39.6383561643836
103500,453366,"Commercial associate",0.668500627,33.7205479452055
180000,267102,"Working",0.297331261666667,42.9506849315068
135000,265500,"Working",0.244652457666667,22.7890410958904
180000,195543,"Working",0.424171607666667,40.8794520547945
292500,1800000,"Commercial associate",0.534434620666667,30.427397260274
180000,234000,"Working",0.503317823,35.3698630136986
135000,104256,"Commercial associate",0.634383145666667,43.0739726027397
157500,301896,"Working",0.601225455666667,42.2164383561644
225000,922365,"State servant",0.571967064333333,43.5095890410959
270000,225000,"Commercial associate",0.45137906,29.9205479452055
157500,442062,"Commercial associate",0.594281114666667,49.3342465753425
202500,260640,"Working",0.585035241333333,29.7479452054795
85500,149256,"Working",0.326273593,29.1561643835616
315000,1451047.5,"Commercial associate",0.672870824333333,33.5150684931507
387000,218938.5,"Working",0.522380939,29.0438356164384
162000,108000,"Working",0.459237459666667,27.9397260273973
270000,675000,"Working",0.418278966,25.3835616438356
193500,495000,"Working",0.272334860666667,29.2520547945205
90000,502497,"Working",0.714030233666667,44.5013698630137
117000,547344,"Pensioner",0.711842296,64.8794520547945
270000,1639057.5,"Working",0.399344229,31.5095890410959
382500,595386,"Working",0.641821512666667,59.4219178082192
247500,420588,"Working",0.475841762666667,43.9753424657534
315000,481176,"Working",0.691461917333333,33.2657534246575
292500,454500,"Working",0.539076642666667,38.2219178082192
135000,220536,"Commercial associate",0.531360826333333,28.7972602739726
180000,582804,"Working",0.578676203666667,51.2767123287671
1350000,1885536,"Commercial associate",0.572717789666667,47.2657534246575
81000,431280,"Working",0.621880810666667,36.4465753424658
202500,540000,"State servant",0.377753325,47.0904109589041
135000,360000,"Working",0.626668198666667,54.0246575342466
157500,135000,"Working",0.361169811333333,35.5506849315069
247500,552555,"Working",0.386207124666667,27.613698630137
220500,1094688,"Working",0.659616621,58.2191780821918
225000,493204.5,"Commercial associate",0.447289342666667,29.1561643835616
270000,729792,"Commercial associate",0.567252750666667,38.1424657534247
315000,732915,"Commercial associate",0.539389981666667,27.3150684931507
292500,1441687.5,"Working",0.582970921666667,39.0164383561644
85500,254700,"Working",0.256357791,37.4657534246575
72000,454500,"Pensioner",0.694828011666667,63.9616438356164
166500,225000,"Working",0.558629534666667,28.2164383561644
261000,9e+05,"Commercial associate",0.527496489,29.3534246575342
180000,543037.5,"Commercial associate",0.364768354333333,34.0246575342466
297000,790830,"Commercial associate",0.313963943,36.1835616438356
112500,256500,"Working",0.407761155333333,50.1698630136986
76500,315000,"State servant",0.633122529333333,31.2684931506849
171000,792162,"Pensioner",0.723534193333333,56.4876712328767
202500,257391,"Working",0.681529914666667,46.213698630137
135000,675000,"Working",0.549928776333333,39.854794520548
450000,1096020,"Working",0.748091254,42.6465753424658
135000,675000,"Working",0.737729771,52.9753424657534
135000,260640,"Commercial associate",0.374084307333333,27.7479452054795
247500,1921797,"Commercial associate",0.691282608,58.8575342465753
202500,1928304,"Commercial associate",0.617678665666667,33.3178082191781
135000,260640,"Commercial associate",0.562155445333333,31.3479452054795
112500,875241,"Working",0.61081474,48.6575342465753
193500,1161360,"State servant",0.619390643,33.9315068493151
315000,728460,"Commercial associate",0.227725346666667,45.8356164383562
450000,90000,"Commercial associate",0.740434950333333,28.2657534246575
135000,746280,"State servant",0.62444346,35.9972602739726
229500,675000,"Working",0.408765321666667,35.2904109589041
225000,427500,"Working",0.599471034666667,40.9068493150685
180000,1226700,"Pensioner",0.689915252,60.4904109589041
189000,630000,"Working",0.585292499666667,51.8191780821918
202500,781920,"Working",0.616833969,41.9643835616438
315000,526500,"Working",0.676653980666667,43.1260273972603
90000,286704,"Working",0.347151635,32
157500,291384,"Pensioner",0.517796077333333,62.9041095890411
189000,572148,"Working",0.410732629,57.9643835616438
112500,454500,"Pensioner",0.350163335333333,56.7095890410959
225000,1125000,"Working",0.714747933666667,50.4493150684931
99000,163512,"State servant",0.616286453666667,44.3643835616438
270000,995562,"Commercial associate",0.602664751666667,46.8109589041096
247500,675000,"Commercial associate",0.685027848333333,36.6794520547945
360000,732915,"Commercial associate",0.679928813666667,54.9835616438356
225000,265851,"Working",0.651176147666667,57.6
256500,550980,"Commercial associate",0.300928558333333,27.6712328767123
135000,454500,"State servant",0.697268020666667,52.5369863013699
